,4,2,3,6,5,
4,"('0.0047', '0.0001')","('-0.0033', '0.0004')","('0.0006', '0.0000')","('-0.0061', '0.0002')","('-0.0036', '0.0002')","('0.0002', '0.0000')"
1,"('0.0032', '0.0002')","('-0.0007', '0.0000')","('-0.0016', '0.0001')","('-0.0014', '0.0000')","('0.0009', '0.0000')",
3,"('0.0006', '0.0001')","('0.0010', '0.0001')","('0.0005', '0.0001')","('-0.0007', '0.0001')","('0.0010', '0.0000')","('-0.0004', '0.0001')"
2,"('0.0048', '0.0001')","('-0.0063', '0.0002')","('-0.0039', '0.0002')","('-0.0057', '0.0002')","('-0.0007', '0.0001')",
,,,,,,
,,0.0047,,,,
,,0.0032,,,,
,,0.0006,,,,
,,0.0048,,,,
,,-0.0033,,,,
,,-0.0007,,,,
,,0.001,,,,
,,-0.0063,,,,
,,0.0006,,,,
,,-0.0016,,,,
,,0.0005,,,,
,,-0.0039,,,,
,,-0.0061,,,,
,,-0.0014,,,,
,,-0.0007,,,,
,,-0.0057,,,,
,,-0.0036,,,,
,,0.0009,,,,
,,0.001,,,,
,,-0.0007,,,,
,,,,,,
,,-0.000835,,,,
